"Section ID","Section","HS2 ID","HS2","HS4 ID","HS4","Year","Quarter ID","Quarter","Month ID","Month","Time","Trade Value"
1,"Animal Products",101,"Live animals",10101,"Horses",2022,1,"Q1",1,"January",202201,140448.01
1,"Animal Products",101,"Live animals",10102,"Bovine",2022,1,"Q1",1,"January",202201,162982.54
1,"Animal Products",101,"Live animals",10103,"Pigs",2022,1,"Q1",1,"January",202201,1143667.23
1,"Animal Products",101,"Live animals",10104,"Sheep and Goats",2022,1,"Q1",1,"January",202201,42038.64
1,"Animal Products",101,"Live animals",10105,"Poultry",2022,1,"Q1",1,"January",202201,614400.9400000001
1,"Animal Products",101,"Live animals",10106,"Other Animals",2022,1,"Q1",1,"January",202201,216998.4
1,"Animal Products",102,"Meat and edible meat offal",10201,"Bovine Meat",2022,1,"Q1",1,"January",202201,1728063.81
1,"Animal Products",102,"Meat and edible meat offal",10202,"Frozen Bovine Meat",2022,1,"Q1",1,"January",202201,14998629.960000003
1,"Animal Products",102,"Meat and edible meat offal",10203,"Pig Meat",2022,1,"Q1",1,"January",202201,16376367.839999996
1,"Animal Products",102,"Meat and edible meat offal",10204,"Sheep and Goat Meat",2022,1,"Q1",1,"January",202201,10754.67
1,"Animal Products",102,"Meat and edible meat offal",10205,"Horse Meat",2022,1,"Q1",1,"January",202201,10395.53
1,"Animal Products",102,"Meat and edible meat offal",10206,"Edible Offal",2022,1,"Q1",1,"January",202201,1825596.4599999997
1,"Animal Products",102,"Meat and edible meat offal",10207,"Poultry Meat",2022,1,"Q1",1,"January",202201,46190149.160000004
1,"Animal Products",102,"Meat and edible meat offal",10208,"Other Meat",2022,1,"Q1",1,"January",202201,115057.54999999999
1,"Animal Products",102,"Meat and edible meat offal",10209,"Animal Fat",2022,1,"Q1",1,"January",202201,1111798.7999999998
1,"Animal Products",102,"Meat and edible meat offal",10210,"Preserved Meat",2022,1,"Q1",1,"January",202201,3198.980000000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10301,"Live Fish",2022,1,"Q1",1,"January",202201,176975.91
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10302,"Non-fillet Fresh Fish",2022,1,"Q1",1,"January",202201,716260.8999999999
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10303,"Non-fillet Frozen Fish",2022,1,"Q1",1,"January",202201,141691308.01999998
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10304,"Fish Fillets",2022,1,"Q1",1,"January",202201,30187468.759999998
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10305,"Processed Fish",2022,1,"Q1",1,"January",202201,2490103.2600000002
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10306,"Crustaceans",2022,1,"Q1",1,"January",202201,112889086.81
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10307,"Molluscs",2022,1,"Q1",1,"January",202201,7319076.040000001
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",10308,"Aquatic invertebrates, other than crustaceans and molluscs",2022,1,"Q1",1,"January",202201,2946489.0800000005
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10401,"Milk",2022,1,"Q1",1,"January",202201,3402646.159999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10402,"Concentrated Milk",2022,1,"Q1",1,"January",202201,2078392.9700000002
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10403,"Fermented Milk Products",2022,1,"Q1",1,"January",202201,4929212.829999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10404,"Whey",2022,1,"Q1",1,"January",202201,913648.6699999999
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10405,"Butter",2022,1,"Q1",1,"January",202201,1268545.5799999996
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10406,"Cheese",2022,1,"Q1",1,"January",202201,8556245.18
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10407,"Eggs",2022,1,"Q1",1,"January",202201,2208528.8900000006
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10408,"Processed Egg Products",2022,1,"Q1",1,"January",202201,206248.08999999997
1,"Animal Products",104,"Dairy products and other edible products of animal origin",10409,"Honey",2022,1,"Q1",1,"January",202201,277441.01999999996
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10502,"Pig Hair",2022,1,"Q1",1,"January",202201,115.24
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10504,"Animal Organs",2022,1,"Q1",1,"January",202201,1846995.49
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10505,"Bird Feathers and Skins",2022,1,"Q1",1,"January",202201,2936630.5499999993
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10506,"Processed Bones",2022,1,"Q1",1,"January",202201,1430.61
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",10507,"Raw Bones",2022,1,"Q1",1,"January",202201,221316.63
